hduser@node0:~ $ hadoop jar /opt/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-examples-2.7.2.jar wordcount -Dmapreduce.job.reduces=4 /input /output
16/09/19 16:15:22 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
16/09/19 16:15:26 INFO client.RMProxy: Connecting to ResourceManager at node0/192.168.1.109:8032
16/09/19 16:15:32 INFO input.FileInputFormat: Total input paths to process : 1
16/09/19 16:15:35 INFO mapreduce.JobSubmitter: number of splits:8
16/09/19 16:15:36 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1474333263386_0001
16/09/19 16:15:38 INFO impl.YarnClientImpl: Submitted application application_1474333263386_0001
16/09/19 16:15:39 INFO mapreduce.Job: The url to track the job: http://node0:8088/proxy/application_1474333263386_0001/
16/09/19 16:15:39 INFO mapreduce.Job: Running job: job_1474333263386_0001
16/09/19 16:16:15 INFO mapreduce.Job: Job job_1474333263386_0001 running in uber mode : false
16/09/19 16:16:15 INFO mapreduce.Job:  map 0% reduce 0%
16/09/19 16:16:42 INFO mapreduce.Job:  map 1% reduce 0%
16/09/19 16:16:47 INFO mapreduce.Job:  map 2% reduce 0%
16/09/19 16:16:48 INFO mapreduce.Job:  map 3% reduce 0%
16/09/19 16:16:50 INFO mapreduce.Job:  map 4% reduce 0%
16/09/19 16:16:53 INFO mapreduce.Job:  map 5% reduce 0%
16/09/19 16:16:54 INFO mapreduce.Job:  map 6% reduce 0%
16/09/19 16:16:57 INFO mapreduce.Job:  map 7% reduce 0%
16/09/19 16:16:59 INFO mapreduce.Job:  map 8% reduce 0%
16/09/19 16:17:02 INFO mapreduce.Job:  map 9% reduce 0%
16/09/19 16:17:03 INFO mapreduce.Job:  map 10% reduce 0%
16/09/19 16:17:06 INFO mapreduce.Job:  map 11% reduce 0%
16/09/19 16:17:09 INFO mapreduce.Job:  map 12% reduce 0%
16/09/19 16:17:12 INFO mapreduce.Job:  map 13% reduce 0%
16/09/19 16:20:04 INFO mapreduce.Job:  map 14% reduce 0%
16/09/19 16:20:11 INFO mapreduce.Job:  map 15% reduce 0%
16/09/19 16:20:14 INFO mapreduce.Job:  map 16% reduce 0%
16/09/19 16:20:16 INFO mapreduce.Job:  map 17% reduce 0%
16/09/19 16:20:19 INFO mapreduce.Job:  map 18% reduce 0%
16/09/19 16:20:20 INFO mapreduce.Job:  map 19% reduce 0%
16/09/19 16:20:22 INFO mapreduce.Job:  map 20% reduce 0%
16/09/19 16:20:25 INFO mapreduce.Job:  map 21% reduce 0%
16/09/19 16:20:28 INFO mapreduce.Job:  map 22% reduce 0%
16/09/19 16:20:31 INFO mapreduce.Job:  map 23% reduce 0%
16/09/19 16:20:34 INFO mapreduce.Job:  map 24% reduce 0%
16/09/19 16:23:26 INFO mapreduce.Job:  map 25% reduce 0%
16/09/19 16:23:31 INFO mapreduce.Job:  map 26% reduce 0%
16/09/19 16:23:34 INFO mapreduce.Job:  map 27% reduce 0%
16/09/19 16:23:36 INFO mapreduce.Job:  map 28% reduce 0%
16/09/19 16:23:38 INFO mapreduce.Job:  map 29% reduce 0%
16/09/19 16:23:41 INFO mapreduce.Job:  map 30% reduce 0%
16/09/19 16:23:43 INFO mapreduce.Job:  map 31% reduce 0%
16/09/19 16:23:45 INFO mapreduce.Job:  map 32% reduce 0%
16/09/19 16:23:48 INFO mapreduce.Job:  map 33% reduce 0%
16/09/19 16:23:51 INFO mapreduce.Job:  map 34% reduce 0%
16/09/19 16:23:55 INFO mapreduce.Job:  map 35% reduce 0%
16/09/19 16:26:45 INFO mapreduce.Job:  map 36% reduce 0%
16/09/19 16:26:51 INFO mapreduce.Job:  map 37% reduce 0%
16/09/19 16:26:54 INFO mapreduce.Job:  map 38% reduce 0%
16/09/19 16:26:57 INFO mapreduce.Job:  map 39% reduce 0%
16/09/19 16:26:59 INFO mapreduce.Job:  map 40% reduce 0%
16/09/19 16:27:00 INFO mapreduce.Job:  map 41% reduce 0%
16/09/19 16:27:03 INFO mapreduce.Job:  map 42% reduce 0%
16/09/19 16:27:06 INFO mapreduce.Job:  map 43% reduce 0%
16/09/19 16:27:09 INFO mapreduce.Job:  map 44% reduce 0%
16/09/19 16:27:13 INFO mapreduce.Job:  map 45% reduce 0%
16/09/19 16:27:16 INFO mapreduce.Job:  map 46% reduce 0%
16/09/19 16:30:04 INFO mapreduce.Job:  map 47% reduce 0%
16/09/19 16:30:13 INFO mapreduce.Job:  map 48% reduce 0%
16/09/19 16:30:16 INFO mapreduce.Job:  map 50% reduce 0%
16/09/19 16:30:19 INFO mapreduce.Job:  map 51% reduce 0%
16/09/19 16:30:22 INFO mapreduce.Job:  map 52% reduce 0%
16/09/19 16:30:25 INFO mapreduce.Job:  map 53% reduce 0%
