hduser@node0:~ $ hadoop jar /opt/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-examples-2.7.2.jar wordcount -Dmapreduce.job.reduces=8 /input256 /output
16/09/08 17:35:54 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
16/09/08 17:35:58 INFO client.RMProxy: Connecting to ResourceManager at node0/192.168.1.109:8032
16/09/08 17:36:02 INFO input.FileInputFormat: Total input paths to process : 1
16/09/08 17:36:02 INFO mapreduce.JobSubmitter: number of splits:8
16/09/08 17:36:03 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1473379399940_0006
16/09/08 17:36:04 INFO impl.YarnClientImpl: Submitted application application_1473379399940_0006
16/09/08 17:36:04 INFO mapreduce.Job: The url to track the job: http://node0:8088/proxy/application_1473379399940_0006/
16/09/08 17:36:04 INFO mapreduce.Job: Running job: job_1473379399940_0006
16/09/08 17:36:32 INFO mapreduce.Job: Job job_1473379399940_0006 running in uber mode : false
16/09/08 17:36:32 INFO mapreduce.Job:  map 0% reduce 0%
16/09/08 17:36:55 INFO mapreduce.Job:  map 7% reduce 0%
16/09/08 17:36:59 INFO mapreduce.Job:  map 13% reduce 0%
16/09/08 17:37:02 INFO mapreduce.Job:  map 18% reduce 0%
16/09/08 17:37:05 INFO mapreduce.Job:  map 23% reduce 0%
16/09/08 17:37:06 INFO mapreduce.Job:  map 24% reduce 0%
16/09/08 17:37:08 INFO mapreduce.Job:  map 28% reduce 0%
16/09/08 17:37:09 INFO mapreduce.Job:  map 30% reduce 0%
16/09/08 17:37:11 INFO mapreduce.Job:  map 33% reduce 0%
16/09/08 17:37:12 INFO mapreduce.Job:  map 35% reduce 0%
16/09/08 17:37:14 INFO mapreduce.Job:  map 38% reduce 0%
16/09/08 17:37:15 INFO mapreduce.Job:  map 41% reduce 0%
16/09/08 17:37:17 INFO mapreduce.Job:  map 43% reduce 0%
16/09/08 17:37:18 INFO mapreduce.Job:  map 47% reduce 0%
16/09/08 17:37:20 INFO mapreduce.Job:  map 48% reduce 0%
16/09/08 17:37:21 INFO mapreduce.Job:  map 51% reduce 0%
16/09/08 17:37:23 INFO mapreduce.Job:  map 52% reduce 0%
16/09/08 17:37:24 INFO mapreduce.Job:  map 53% reduce 0%
16/09/08 17:40:15 INFO mapreduce.Job:  map 55% reduce 0%
16/09/08 17:40:16 INFO mapreduce.Job:  map 57% reduce 0%
16/09/08 17:40:18 INFO mapreduce.Job:  map 61% reduce 0%
16/09/08 17:40:19 INFO mapreduce.Job:  map 63% reduce 0%
16/09/08 17:40:21 INFO mapreduce.Job:  map 65% reduce 0%
16/09/08 17:40:22 INFO mapreduce.Job:  map 66% reduce 0%
16/09/08 17:40:25 INFO mapreduce.Job:  map 67% reduce 0%
16/09/08 17:41:54 INFO mapreduce.Job:  map 68% reduce 0%
16/09/08 17:41:57 INFO mapreduce.Job:  map 69% reduce 0%
16/09/08 17:41:59 INFO mapreduce.Job:  map 70% reduce 0%
16/09/08 17:42:02 INFO mapreduce.Job:  map 71% reduce 0%
16/09/08 17:42:03 INFO mapreduce.Job:  map 72% reduce 0%
16/09/08 17:42:06 INFO mapreduce.Job:  map 73% reduce 0%
16/09/08 17:42:08 INFO mapreduce.Job:  map 74% reduce 0%
16/09/08 17:42:11 INFO mapreduce.Job:  map 75% reduce 0%
16/09/08 17:42:12 INFO mapreduce.Job:  map 76% reduce 0%
16/09/08 17:42:15 INFO mapreduce.Job:  map 77% reduce 0%
16/09/08 17:42:18 INFO mapreduce.Job:  map 78% reduce 0%
16/09/08 17:42:21 INFO mapreduce.Job:  map 80% reduce 0%
16/09/08 17:42:24 INFO mapreduce.Job:  map 81% reduce 0%
16/09/08 17:42:27 INFO mapreduce.Job:  map 82% reduce 0%
16/09/08 17:42:30 INFO mapreduce.Job:  map 84% reduce 0%
